trade_id,run_id,entry_time,exit_time,entry_ts,exit_ts,side,direction,entry_price,exit_price,units,pnl_bps,pnl_currency,entry_prob_long,entry_prob_short,exit_prob_close,entry_p_long,entry_p_profitable,entry_policy_version,exit_reason,primary_exit_reason,bars_held,session,vol_regime,trend_regime,session_entry,vol_regime_entry,session_exit,vol_regime_exit,farm_entry_session,farm_entry_vol_regime,farm_guard_version,vol_bucket,atr_bps,notes,policy_name,model_name,exit_profile,extra
SIM-1765190955-000006,replay_20251208_104904,2025-01-02T23:25:00+00:00,,,,long,,2659.180,,1,,,0.7973,0.2027,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.80,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190955-000006""}"
SIM-1765190955-000007,replay_20251208_104904,2025-01-02T23:30:00+00:00,,,,long,,2659.460,,1,,,0.7391,0.2609,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.79,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190955-000007""}"
SIM-1765190955-000008,replay_20251208_104904,2025-01-02T23:35:00+00:00,,,,long,,2659.260,,1,,,0.7538,0.2462,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.70,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190955-000008""}"
SIM-1765190955-000009,replay_20251208_104904,2025-01-02T23:40:00+00:00,,,,long,,2659.690,,1,,,0.7634,0.2366,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.41,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190955-000009""}"
SIM-1765190955-000010,replay_20251208_104904,2025-01-02T23:45:00+00:00,,,,long,,2658.690,,1,,,0.7686,0.2314,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.54,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190955-000010""}"
SIM-1765190955-000011,replay_20251208_104904,2025-01-02T23:50:00+00:00,,,,long,,2658.950,,1,,,0.7854,0.2146,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.63,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190955-000011""}"
SIM-1765190955-000012,replay_20251208_104904,2025-01-02T23:55:00+00:00,,,,long,,2658.730,,1,,,0.8071,0.1929,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.54,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190955-000012""}"
SIM-1765190956-000013,replay_20251208_104904,2025-01-03T00:00:00+00:00,,,,long,,2660.590,,1,,,0.7992,0.2008,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.94,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190956-000013""}"
SIM-1765190956-000014,replay_20251208_104904,2025-01-03T00:05:00+00:00,,,,long,,2661.130,,1,,,0.7382,0.2618,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.89,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190956-000014""}"
SIM-1765190956-000015,replay_20251208_104904,2025-01-03T00:10:00+00:00,,,,long,,2660.970,,1,,,0.7329,0.2671,,,,,,,,,,,ASIA,LOW,,,,,,LOW,2.91,replay;atr_regime=LOW;brain_trend_regime=TREND_UP;brain_vol_regime=LOW;brain_risk_score=0.500,GX1_V11_OANDA_DEMO_V9_FARM_V2B_EXIT_DIAG,ENTRY_V9,FARM_EXIT_V2_RULES_DIAG,"{""tp_bps"": 180, ""sl_bps"": 100, ""be_trigger_bps"": 50, ""be_active"": false, ""be_price"": null, ""exit_profile"": ""FARM_EXIT_V2_RULES_DIAG"", ""exit_farm_v2_rules_initialized"": true, ""atr_regime"": ""LOW"", ""big_brain_v1"": {""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""coverage_cutoff"": 0.54, ""coverage_cutoff_base"": 0.2, ""coverage_cutoff_adj"": -0.010000000000000009}, ""adaptive_thresholding"": {""conflict"": 0.0, ""conflict_norm"": 0.0, ""regime_adj"": -0.01, ""cutoff_adj_conf"": 0.0, ""coverage_cutoff_new"": 0.54, ""margin_min_long"": 0.075, ""margin_min_short"": 0.095, ""margin_min_long_base"": 0.08, ""margin_min_short_base"": 0.1}, ""brain_trend_regime"": ""TREND_UP"", ""brain_vol_regime"": ""LOW"", ""brain_risk_score"": 0.5, ""vol_regime_entry"": ""LOW"", ""vol_regime"": ""LOW"", ""session"": ""ASIA"", ""session_entry"": ""ASIA"", ""trade_id"": ""SIM-1765190956-000015""}"
